id,name,barcode,category,description,quantity,price,cost,weight,expiration_date,date_received,last_updated,status
b58f7deb-b164-4b2d-9bf4-ddda0dd92ffb,Portable Bluetooth Headphones,FR96 9538 3002 22SF G7ZJ GR9C Y65,Audio,Wireless headphones with noise-canceling features.,4315,193.7,185.24,28.29,2/20/2027,11/1/2027,8/4/2022,Active
cad5ec9a-0fa6-4a5a-b88e-567681d1eff8,Spinach and Feta Stuffed Chicken Breast,DE07 6774 9978 3106 1554 07,Food - Meat,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",4343,357.38,113.65,32.23,2/12/2026,1/19/2022,9/16/2024,Active
4297bf12-6714-41a9-8b1c-a2f6de03d596,Coconut Water,IT35 W821 0834 170R ZRYM MOL7 JYS,Food - Beverages,"Refreshing coconut water, perfect for hydration.",4743,603.02,772.62,25.1,5/26/2025,8/22/2030,4/24/2025,Active
e619a162-82fc-42ca-ac90-938ea59f39ab,Almond Butter,IT32 I283 1975 9780 3KWQ NINY JVD,Food - Condiments,Creamy almond butter made from roasted almonds.,5591,754.43,916.66,8.6,11/10/2024,7/31/2024,9/28/2023,Active
0ebdeba3-4b54-4974-91f6-21a197022a39,French Onion Dip,RO67 ANNE M70S CWKH 9TIC OD52,Food - Condiments,"Creamy dip made with real onions and spices, great for chips and veggies.",7822,63.17,282.04,51.67,6/14/2029,4/5/2025,6/19/2029,Active
84b0780f-9cbf-4900-b406-0fde3368b149,Home Karaoke System,IL62 6309 8423 9288 8193 076,Audio,Complete karaoke system with microphones and speakers.,9351,535.78,483.37,21.63,10/15/2025,4/16/2028,9/13/2024,Active
394f0700-9afb-4248-86cd-36b02bca2cbd,Fishing Rod,PS13 WJHC A8VI UF6H LVZT WTBT 7BHN T,Outdoor,Lightweight fishing rod suitable for beginners.,6263,264.72,606.11,92.77,7/18/2030,6/2/2026,4/14/2028,Active
ee23cceb-3587-46f6-b44c-0231bcc0030c,Children's Backpack,BE21 6772 9122 9582,Accessories,Stylish and functional backpack for school or trips.,3124,240.67,52.28,34.59,5/3/2023,3/2/2028,4/19/2025,Inactive
089848a7-e3ce-415b-b6ca-527c3ad3d4ae,Organic Baby Carrots,MC02 1249 4583 65CV ZQPL UPKC X59,Food - Fresh Produce,Fresh and crunchy baby carrots ready for snacking.,1906,712.16,98.27,52.54,6/23/2025,10/3/2029,2/6/2024,Inactive
d6d55f1d-8a8d-4d58-ba6a-9c5be58c0683,Active Racerback Tank,CY68 5625 5232 KSOZ NJWX TKX7 HWTN,Clothing - Tops,Lightweight and moisture-wicking racerback tank for workouts.,1793,947.08,574.57,76.3,3/9/2028,1/16/2024,1/8/2025,Active
b4a51774-61c5-45f3-a677-926675303a7e,Nail Polish Set,TR33 7653 0KMJ 92CU 2SPP WZDT VT,Beauty,Assorted nail polish set for vibrant nails.,2137,987.7,545.46,56.08,4/29/2022,3/17/2030,10/2/2029,Pending
da625eb5-b7f9-4c6a-95e9-04dfed99bec2,Almond Coconut Granola,MK23 6998 XCAL LX7O Z96,Food - Breakfast Foods,Crunchy granola with almonds and coconut.,3202,528.16,2.56,11.94,6/15/2029,1/21/2024,3/26/2022,Pending
8ba6d1da-bed5-4480-beea-c353190f550b,Chocolate Syrup,LU06 422Y H5NT NXQQ YUO7,Food - Condiments,Rich chocolate syrup for ice cream or beverages.,1836,478.73,53.4,90.63,7/28/2028,6/5/2027,7/30/2026,Inactive
7e528b39-14d7-47f9-8052-f1f3b1c04ea2,Coconut Curry Lentils,SM62 Y971 2367 171U MYB1 8S3W MRW,Food - Canned Goods,Lentils cooked in a coconut curry for a hearty meal.,2339,498.41,892.56,56.23,4/25/2023,8/7/2024,1/1/2029,Inactive
393502d9-6ad9-4937-95e3-ca8982cea754,Woven Storage Baskets,BE31 5092 2270 5584,Home,Stylish baskets for organizing various items in your home.,2867,430.52,298.85,65.39,4/3/2022,10/14/2026,9/22/2022,Pending
a0445455-1ee7-471e-9c38-2d08a03158d0,Bamboo Utensil Set,IE16 MYBL 8065 8628 4575 90,Kitchen,Sustainable bamboo utensils for cooking and serving.,3248,693.6,986.5,6.65,11/7/2025,1/22/2028,1/25/2026,Pending
955ab6c5-3f35-43ff-a2a4-0a3cf5ff5b75,Leather Biker Jacket,IL31 3253 3064 7098 3063 968,Clothing - Outerwear,Stylish black leather jacket featuring a zip-up front and multiple pockets.,3161,100.94,910.06,1.03,1/12/2022,6/5/2023,6/28/2028,Active
0b0778bd-650a-491e-8a60-6a1f65c70532,Buffalo Cauliflower Wings,GT63 1NR1 WYNA LMXX H1RE 7U74 NSZU,Food - Frozen Foods,Crispy cauliflower bites tossed in spicy buffalo sauce.,7856,642.45,143.06,66.47,3/2/2029,4/22/2029,7/7/2029,Pending
0bf344d4-3b7a-4ed7-aef6-66d6769b7a82,Paint By Numbers Kit,LU50 2572 RSFT CWSV UFVZ,Art Supplies,Relaxing paint kit with pre-printed canvas for painting.,118,903.73,59.79,98.22,10/27/2026,2/17/2028,3/27/2029,Pending
731dff8c-ab5f-4978-a14e-53d26f181e4b,Non-Stick Baking Sheets,FO64 0478 8223 6091 17,Kitchen,Set of baking sheets for effortless baking.,7673,68.07,123.82,88.81,6/20/2023,2/3/2030,5/25/2026,Active
75eecac7-98be-45e5-acc0-9bbf84ee5b9b,Indian Curry Sauce,FR63 7972 7124 81QL P9CV AWRK N30,Food - Condiments,Authentic Indian curry sauce for quick meals.,4437,455.72,779.32,65.75,2/13/2027,3/6/2029,8/1/2025,Pending
70420897-eea8-42bb-a611-60fa737a55a9,Electric Stir Fry Pan,BG65 JSNS 5592 29JX 99DD TF,Kitchen,Large stir fry pan with non-stick surface.,6519,51.65,204.51,13.99,5/19/2030,7/16/2026,5/5/2026,Inactive
3221d1e8-334c-40a2-b728-325f03aefcda,Saffron Rice Mix,SE36 0541 9740 5454 4930 2012,Food - Grains,Flavorful rice mix with saffron and spices.,5048,892.03,921.04,40.65,7/7/2029,9/27/2026,4/25/2023,Active
82bc0f50-07a3-48db-8836-ed7ccf5594e3,Magnetic Chess Set,PK29 XKNP OEVP JM1D OAUX IE8Z,Toys,Portable chess set with magnetic pieces for travel.,9933,297.39,634.22,12.21,8/4/2029,4/28/2026,8/18/2022,Active
1916093c-ff17-49ad-bdd2-a44b687ae2a9,Rustic Italian Bread,AD45 7524 9643 EFZJ IF6L 6GZU,Food - Bakery,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",3285,994.11,327.41,61.77,5/7/2023,8/15/2022,7/5/2029,Active
8f8a0e00-f97d-49ec-8640-6e4b7e22d1e5,Ice Cube Tray with Lid,NO61 5825 3310 918,Kitchen,Silicone tray for making ice cubes with a lid to prevent spills.,3748,849.06,1.92,41.97,11/9/2030,8/23/2024,7/26/2022,Pending
76b6a59a-710a-47c7-866a-cf8818cb43b3,Puffer Winter Coat,DK47 2002 7634 5775 74,Clothing - Outerwear,A warm and stylish puffer coat perfect for winter weather.,3260,756.35,889.98,14.3,8/28/2027,6/14/2024,2/1/2024,Pending
ad24b2bd-219d-4911-817a-9dfc245e692f,Pet Camera with Treat Dispenser,HU75 1360 1834 2450 9633 9013 3902,Pets,Monitor and interact with your pet remotely with this camera.,3882,687.67,560.72,18.52,6/30/2022,9/16/2024,6/9/2024,Pending
7bfb5507-f8e2-429c-b151-f02a1d1942f4,Graphic Hoodie,PT64 2641 0369 5735 9111 8633 2,Clothing - Outerwear,Bold graphic hoodie featuring a comfortable fit and soft fabric.,435,897.55,723.33,16.41,3/7/2026,10/15/2023,4/26/2028,Inactive
e79a929d-b63f-420e-987c-0b224e799769,Tandoori Chicken Skewers,PL94 3397 8333 7111 3307 0283 2164,Food - Meat,Marinated chicken skewers infused with traditional tandoori spices.,6203,658.37,161.63,45.4,9/20/2028,8/8/2023,1/2/2029,Pending
aba7ba48-1629-44d5-a9dd-a71c7c973562,Ginger Snaps,DK54 0684 4987 7561 79,Food - Confectionery,Spicy ginger cookies that are crunchy and delicious.,353,779.78,242.72,94.66,7/28/2023,12/20/2027,5/10/2024,Pending
a9c3546c-29f5-4c4a-9af4-14e78dd739b1,Whole Grain Hamburger Buns,FR44 6931 0373 91SP QNCN GMRB 798,Food - Bakery,Soft hamburger buns made with whole grains.,1905,236.62,627.27,81.77,7/18/2030,8/30/2024,8/17/2029,Active
f3ca7465-25dd-41be-9c3d-f2cbc4b78279,Savory Oatmeal,ME68 2315 1884 3278 4882 00,Food - Breakfast,Oatmeal made with savory spices and vegetables.,2366,238.55,860.14,78.53,11/12/2030,5/17/2026,8/16/2030,Active
e3fa2471-7597-426d-87e8-86fe91a98850,Black Bean Spaghetti,SE31 2887 3362 9886 8185 5028,Food - Pasta,"High-protein pasta made from black beans, gluten-free.",5103,200.9,913.62,23.31,1/12/2027,4/17/2028,10/19/2026,Pending
172674a5-24bd-4f49-bd58-ff7a1a8d05bb,Spiralizer,BR51 8167 4017 1018 7227 0358 399R J,Kitchen,Vegetable spiralizer for healthy meals.,3220,759.36,777.93,16.6,6/26/2024,8/30/2027,11/18/2024,Active
4790f2c3-4a54-4c0e-8cd9-90b16eddb52b,Travel Organizer,BA76 7398 4729 5539 3478,Travel,Compact travel organizer for accessories and toiletries.,4821,77.97,628.5,24.05,5/11/2028,11/16/2025,3/1/2027,Active
fb9bafba-fba8-4f98-bdbc-600a1f9afad4,Green Smoothie Mix,RS88 7733 6437 5157 9000 43,Food - Beverages,A convenient powder mix combining greens and fruits for smoothies.,8030,77.35,37.07,9.74,9/28/2023,9/3/2025,6/30/2028,Active
99af4f7f-57f6-46ba-912e-f864257fff64,Dark Chocolate Covered Almonds,LV55 JSSY M7OU XATY NTMF 6,Food - Snacks,Roasted almonds dipped in rich dark chocolate.,4122,229.14,925.59,87.15,1/18/2027,12/12/2022,7/30/2023,Pending
27b5a193-3034-4065-8d00-d36cad2fde9a,Body Wash,GB71 KEBZ 9201 1085 5289 58,Beauty,Moisturizing body wash with natural ingredients.,7159,585.84,988.02,46.86,1/14/2029,4/16/2024,11/13/2030,Pending
d9537dd4-dc7d-4c96-9d8e-d66f1207be95,Luxe Velvet Blazer,FR60 2366 0825 53ID DSAF HKMT 196,Clothing - Outerwear,Elevate your outfit with this sophisticated velvet blazer.,6541,211.29,288.71,44.56,7/13/2028,9/2/2022,9/17/2026,Active
e72ec50c-3634-4efc-b9e1-8cf412fd6aa7,Classic Black Trousers,RS61 6261 1303 7625 2539 06,Clothing - Pants,Timeless black trousers for a smart and sophisticated look.,2087,737.12,41.97,11.03,12/12/2024,11/18/2025,2/25/2026,Active
0d5ebdc3-8c26-419e-9d18-2c939d3b8273,Herb Garlic Butter,GT91 7OJE Q7IC IG4W VNG6 HUF8 IHJK,Food - Condiments,"A flavorful garlic butter blend, perfect for cooking or baking.",2902,431.68,980.47,63.33,10/29/2029,8/25/2025,9/3/2023,Inactive
30e1c9fd-fef2-4e78-8561-b2e19f802bb4,Vegetable Chips,FR73 4753 4632 488H B5FQ 9TRW R45,Food - Snacks,Crispy and crunchy snack made from assorted vegetables.,7944,843.97,560.17,83.76,9/25/2023,2/2/2029,8/3/2023,Active
606c1bc2-8be8-4286-b03a-378dac8cce7b,Frozen Chicken Nuggets,BH94 UBNZ LI0K BYWL LJ6Q YS,Food - Frozen Foods,Crispy chicken nuggets for quick meals.,302,137.68,932.48,92.61,11/4/2026,8/25/2027,4/15/2029,Pending
9c2d512e-8b82-4e17-a52c-a6830d60c616,Coconut Chia Pudding,NL88 SHUH 5583 1738 71,Food - Dairy,Creamy chia pudding made with coconut milk and topped with mango.,9527,685.62,545.61,44.03,3/27/2025,11/10/2027,12/17/2027,Inactive
1110a3d1-4a48-4806-8e0b-602f81709ceb,Pasta Primavera Kit,GT63 G5NV Y08P 2G57 BRDW FHYJ UUIB,Food - Meal Kits,Quick meal kit with pasta and fresh vegetables.,2924,25.97,224.74,50.0,6/26/2026,12/7/2025,11/21/2026,Active
4c9b94ff-5697-4ffb-8da7-5ca100df24e7,Streaming Device,MK05 795W OPYI YEBG Z05,Electronics,HD streaming device for accessing popular services.,2847,556.69,237.82,83.42,8/15/2024,3/5/2028,12/6/2030,Inactive
57c7e892-b314-40d3-8d03-0053401f4489,Kettle Chip Variety Pack,GL86 9695 6462 8600 64,Food - Snacks,A crunchy collection of flavored kettle chips in a convenient pack.,7200,538.7,60.83,10.21,4/19/2027,2/19/2022,11/21/2023,Active
8ca31707-3399-4920-8d12-133f654ab974,Balsamic Glazed Brussels Sprouts,FI57 5784 8405 7929 93,Food - Vegetables,Roasted Brussels sprouts drizzled with balsamic glaze.,8470,317.72,378.31,43.48,8/7/2026,2/14/2022,3/22/2026,Inactive
73d812f4-72f4-41de-9510-b50e28e2ae46,Arcade Game Machine,BE56 3297 2593 3383,Gaming,Retro arcade machine for classic gaming.,7555,771.2,461.72,14.67,1/3/2025,1/27/2027,11/6/2024,Active
a81fcce2-587b-4e85-8a8d-4fef8cc39643,Electric Screwdriver,FR10 1055 3594 31QC DL8W G9JE C55,Tools,Cordless electric screwdriver for home projects.,5975,25.3,471.99,47.08,11/21/2025,4/18/2030,6/8/2023,Inactive
b229bfc5-b449-4ee0-a621-987446421e66,Matcha Green Tea Powder,GR61 6818 198F WAOO V3UE IZTN 88R,Food - Beverages,High-quality matcha for making traditional tea or lattes.,3948,575.92,741.51,37.76,1/31/2025,9/14/2023,11/11/2026,Active
a5ffba6d-2b03-4429-b73f-1d345a4c11f0,Smart Doorbell,FR83 1944 8330 95PD UK4J 4LQG Y86,Smart Home,Wi-Fi enabled doorbell with HD camera and two-way audio.,7150,994.9,479.22,18.2,11/7/2027,9/9/2027,11/23/2023,Inactive
9152f3b9-5121-4f1d-97fd-c4371c2ab497,Sliced Cucumbers,BG85 OTHJ 1526 55KO LMPP LU,Food - Produce,"Freshly sliced cucumbers, great for salads or snacking.",8505,57.32,397.55,0.0,11/24/2028,12/15/2029,2/2/2025,Active
43da7617-87cd-44c9-8b51-eac414272ff2,Homestyle Beef Stew,PK89 BGLY GLFV NBUE TLWY L7Z1,Food - Canned Soups,"Hearty beef stew with vegetables, ready to heat and serve.",3238,285.32,137.46,80.08,4/13/2029,11/22/2022,5/10/2030,Pending
ecd7cce4-15cf-4cbf-904b-9d850170a1bf,Electric Hot Water Dispenser,SK71 9894 6534 2263 5731 9759,Kitchen,Instant hot water dispenser for tea and cooking.,9768,741.86,817.39,83.98,1/19/2029,4/1/2023,3/11/2028,Inactive
53fb1137-8402-4d89-bf1a-9b65d35f3415,Wooden Children's Play Kitchen,CY34 9752 1266 QGC9 IM7C HBPQ WF2E,Toys,Interactive kitchen set for imaginative play.,6788,278.99,476.48,44.44,5/24/2028,11/14/2023,3/13/2030,Active
589f88ba-9b42-4c9c-b8fe-edb4297a4ea9,Portable Campfire,DO24 SAUL 1428 0208 3431 7515 0597,Outdoor,Compact campfire for grilling and warmth during camping trips.,3702,875.73,12.55,49.43,5/3/2026,8/27/2025,3/4/2029,Active
7f1e5892-941d-4f0b-a5a5-c85f236a9d02,Chocolate Chip Pancake Mix,SA93 18UV JU89 A0Y7 9IM9 1NKY,Food - Bakery,Easy-to-make pancake mix with chocolate chips included.,5906,484.91,174.6,92.7,1/3/2029,10/31/2023,2/16/2025,Inactive
8739684f-9215-4010-819a-8f26ead10694,Organic Baby Carrots,FR25 4640 2537 40GD E8WT B0GF N40,Food - Fresh Produce,Fresh and crunchy baby carrots ready for snacking.,2968,831.38,706.92,21.0,4/12/2024,2/14/2025,6/26/2026,Inactive
5bdef016-de80-40b9-bc97-4cd96ecaf49c,Reclining Camping Chair,MR77 2766 3793 6759 8658 9720 344,Outdoor,Foldable reclining camping chair with cup holder.,534,71.1,29.64,35.06,8/25/2025,2/10/2024,12/15/2030,Inactive
df407a91-4c80-4f64-ac24-9979bc5b398d,Wireless Earbuds,SI80 6554 4014 5698 821,Audio,True wireless earbuds with touch control.,8670,344.39,111.32,48.87,3/21/2025,12/17/2028,9/14/2029,Active
93d12dac-776a-46a9-b089-934a98a4255b,Chilli Lime Corn on the Cob,IE14 NBAA 3994 7883 6936 13,Food - Vegetable,Corn on the cob seasoned with chili and lime for a spicy kick.,3149,571.13,814.29,17.33,2/3/2026,4/6/2023,10/24/2022,Pending
07b65e55-d5c8-4f94-977b-42d402d013f7,Brownie Bites,MC41 7839 7001 61BQ CIV3 DKYL L98,Food - Baked Goods,"Fudgy brownie bites, perfect for sharing or snacking.",2520,97.13,977.02,89.72,5/4/2027,6/22/2025,10/24/2025,Active
bec93db8-8eff-499f-96d5-97236e6d7717,Fishing Tackle Box,IS85 6146 3982 8364 3124 6495 35,Outdoor,Organized tackle box for fishing gear.,1497,645.81,828.1,73.88,6/5/2026,12/28/2029,8/13/2030,Pending
d435c1f3-019f-44dd-b03c-3a9c5135c5b2,Pet Grooming Gloves,PT35 6292 1958 5415 3291 7338 6,Pets,Gentle grooming gloves for shedding pets.,8892,734.77,401.97,55.5,12/25/2029,4/22/2026,9/6/2024,Pending
da6524c7-a310-4d31-ba35-e09aeef923ed,Honey Roasted Almonds,FR52 6306 0792 32IN P9DC 7EFP W71,Food - Snacks,Sweet and crunchy roasted almonds.,4792,736.55,500.5,56.06,12/16/2028,7/12/2026,8/5/2023,Pending
c07adff1-deb8-4649-b79d-4d4625a47455,Noise Reduction Headphones,LB11 3713 C40P D8FN 13ON S85M YKME,Audio,Passive noise reduction headphones for focus.,3224,840.76,128.38,23.29,9/27/2025,8/8/2028,4/3/2023,Active
e3df47d8-820b-4203-b834-788ec8c95535,Lightweight Travel Backpack,MK93 2416 EFPT 2ZUE 227,Travel,Compact and portable backpack for day trips and travel.,643,970.08,679.75,49.15,3/5/2029,5/19/2030,7/14/2027,Active
e5fef6ee-3042-4953-acc5-9cc9969b4e24,Organic Coconut Yogurt,MK54 616F KHY6 OKJ0 W32,Food - Dairy,Dairy-free yogurt made from coconut milk.,8356,767.45,486.71,85.4,5/29/2029,5/20/2022,9/27/2028,Active
18174e72-e305-4984-b0df-56bbe29d5f55,Essential White Button-Up,MR66 7403 1493 7011 2726 3129 402,Clothing - Shirts,A classic white button-up shirt for a polished appearance.,9065,271.63,748.79,13.27,3/18/2028,11/18/2030,11/30/2022,Inactive
7fb63f5e-a093-4c25-8d37-21469f4df57e,Fitness Resistance Bands Kit,GR91 0882 983A 5JQK HENS 9DPV 1UU,Fitness,Set with various resistance bands for workouts.,6911,921.79,674.55,67.16,4/7/2023,9/27/2027,1/15/2028,Active
08760a75-45a9-487e-9f88-7120dfe4db2d,Vegetable Lentil Soup,FR59 9474 6886 93HC TEY7 U2KZ O02,Food - Canned Goods,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal.",5381,851.16,575.4,84.22,1/27/2027,9/6/2022,12/16/2024,Inactive
d227ee44-8d91-4fed-9c17-829ecb769459,Classic Watch,SA15 66NE OFEA SHHI HD5Q 6BQT,Accessories,Timeless analog watch with a leather strap.,2127,410.1,989.25,12.93,4/8/2022,4/19/2029,1/9/2030,Active
89266733-27e4-414f-8d5b-43a510fae3c4,Gardening Gloves with Claws,BA50 0701 8411 8535 8837,Garden,Durable gloves with built-in claws for digging and planting.,7504,500.1,15.86,96.38,7/23/2024,7/26/2030,6/11/2023,Pending
688bf4c4-5cb9-479e-aa0a-4132cb19bb96,Ergonomic Mouse Pad with Wrist Support,SA63 979P TBBQ YMQJ WG0K TVQR,Office,Comfortable mouse pad designed to reduce wrist strain.,749,964.6,730.14,77.07,2/15/2024,5/9/2027,7/24/2026,Pending
c6bea7a4-2c01-4bb0-9a94-8bb4573cc084,Handheld Vacuum,LU45 550P KT6E GLU1 JX8Q,Home Appliances,Cordless handheld vacuum for quick cleanups.,8142,414.89,164.31,5.89,11/13/2022,12/25/2027,2/25/2028,Pending
364d2ad5-d0ff-43ce-bb99-53403dd85870,Almond Butter Cookies,GE61 IL02 9220 5493 7992 62,Food - Snacks,Soft cookies made with almond butter,8440,256.9,608.94,65.07,8/27/2026,7/18/2022,11/10/2027,Active
80b797fc-399a-4fc8-a7ec-0c2915258bf0,Digital Wireless Camera,ES60 4973 6509 4473 2663 4078,Home Security,Secure digital wireless security camera system.,6386,912.26,169.39,62.8,6/7/2026,5/20/2022,6/22/2029,Pending
6e0f6aa7-c7d7-4b88-842e-5418246a67b5,Classic Cheesecake Mix,HU58 5639 7129 5994 2702 4349 3526,Food - Desserts,"A simple, no-bake cheesecake mix to create your own delicious cheesecake.",7474,666.83,991.86,64.94,3/2/2029,8/14/2026,6/1/2030,Pending
b789ed21-ef62-48ae-9d92-6d8a38b9d926,Mesh Laundry Bags Set,HU29 3738 2212 8672 4970 5231 7766,Home,Laundry bags perfect for delicates and organizing clothes.,9788,661.11,614.25,94.12,8/28/2029,12/26/2026,8/7/2027,Inactive
f704221a-5ca9-4d6e-b599-f3ccfa11895c,Buffalo Chicken Wraps,FR83 5925 8094 18B5 MXYO 5GHR B10,Food - Prepared Meals,Savory wraps with buffalo chicken and fresh vegetables.,4321,689.93,466.32,56.45,7/3/2029,7/10/2028,10/13/2028,Pending
77680efb-5167-40da-8006-6c03876f048b,Electric Ice Cream Maker,LT59 7571 1759 2656 3119,Kitchen,Make delicious ice cream at home with this user-friendly machine.,9104,734.78,811.44,62.7,1/4/2029,3/28/2025,8/9/2028,Inactive
41ac58b7-c99f-40d7-bb5e-5f7da2142435,Rechargeable Electric Toothbrush,FR93 8392 8036 70OH WJGF 2GXV W40,Health,Advanced electric toothbrush for effective cleaning.,1378,186.85,267.91,78.69,7/27/2028,1/5/2026,5/1/2027,Active
14edc972-217a-4e26-8a44-cd2c27cb2a3a,Kids Tablet,PS93 LKYW VAL1 5Q3A ZUJW DWMZ YUPR 3,Electronics,Durable tablet designed for kids with parental controls.,6774,633.9,346.31,92.42,5/5/2026,9/13/2028,2/6/2023,Active
fbd43073-3eea-4647-803b-e55828f5f9f9,Organic Coconut Sugar,AE09 3744 5246 4925 6087 811,Food - Baking Goods,"A natural sweetener made from coconut sap, a healthier alternative to sugar.",211,415.66,344.84,20.25,12/11/2024,1/10/2024,6/1/2025,Inactive
72f01815-71f8-4553-9f09-e52112a33d8f,Mint Chocolate Chip Ice Cream,IL40 7035 9106 3478 2719 777,Food - Frozen Desserts,Creamy ice cream with refreshing mint flavor and chocolate chips.,6084,571.27,919.25,98.42,11/1/2029,1/30/2023,11/2/2023,Inactive
44ba8a57-6b00-4839-9675-8ca24091dc45,Almond Milk,VG40 DQEI 7635 3595 2108 8114,Food - Dairy,"Deliciously creamy almond milk, perfect for smoothies.",4286,513.03,199.97,89.11,6/6/2022,2/21/2029,5/29/2023,Inactive
3e35d3e9-ed9a-4e89-8dcf-35be410a9324,Face Mask Set,LV60 PDWJ 3T7S P2GJ 6WUG W,Health,Set of five reusable fabric face masks.,3895,92.86,425.08,65.26,3/28/2027,2/6/2024,11/24/2022,Inactive
ac806d78-9c2c-43b9-a5c1-419dd5e53c05,Portable Massage Gun,FR24 6218 5828 169Z OTQP 06IE J63,Health,Personal massager for muscle recovery.,7340,648.32,924.45,92.01,4/13/2027,9/22/2030,9/10/2024,Active
b50ca530-2b79-4234-8777-ae63edd907e0,Vegan Chocolate Cake Mix,GR53 9585 9277 BJA7 ZLAZ 3LBZ MAG,Food - Baking,Plant-based mix for a rich chocolate cake.,2464,463.28,899.48,98.49,4/26/2026,11/15/2023,11/28/2029,Inactive
3c8e95e1-2fb5-4252-aeba-2d1fa4ae5a0d,Sriracha Honey Glaze,IS78 0106 8323 3308 3290 8162 90,Food - Sauces,"A spicy glaze made with sriracha and honey, perfect for meats.",1348,137.92,572.26,72.63,9/5/2024,6/21/2023,9/29/2028,Active
a1ca2831-b134-4303-b9ca-ecdc6f0e11e9,Compact Folding Table,CH05 3486 4CSX FCF5 N2UZ L,Outdoor,Versatile folding table great for events or outdoor activities.,3489,2.02,585.02,71.43,11/29/2030,5/15/2023,9/30/2029,Inactive
12b6c9cc-e75b-4120-9c1a-08e3c218b8e8,Smoked Paprika,FR51 2062 8197 50NW RACB HJK3 533,Food - Spices,Add a smoky flavor to your dishes.,5895,544.31,479.93,99.05,9/22/2025,10/8/2024,8/24/2026,Inactive
c898ac17-8373-4315-97a1-ec02891857c1,Dog Car Seat Cover,MT25 AKGE 3548 0UC9 NVMG GELH HVFZ 2LS,Pets,Waterproof cover to protect car seats from pet hair and dirt.,7869,462.9,112.2,5.27,8/21/2022,5/7/2025,6/20/2022,Active
dabeaf92-a8d9-4b03-8fda-5a0b18add3dc,Walnut Halves,SK56 1779 6677 4250 6938 6145,Food - Nuts,Fresh walnut halves for baking or snacking.,9,720.66,787.75,23.04,1/14/2027,9/27/2024,3/10/2023,Active
